,timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,goal_difference,match_result,elo
0,1533926700,Aug 10 2018 - 6:45pm,complete,60756.0,Olympique Marseille,Toulouse,Ruddy Buquet,1,0.0,0.0,1.95,0.89,4,0,4,1,1,0,"45,62,89,90'2",,5,1,1,0,3,0,0,1,2,1,20,6,11,2,9,4,7,20,60,40,2.38,0.82,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.38,4.97,9.43,1.2,1.67,2.7,4.75,1.83,1.87,Orange Vélodrome (Marseille),4,1,1000
1,1533999600,Aug 11 2018 - 3:00pm,complete,,Nantes,Monaco,Jérôme Brisard,1,0.0,0.0,1.63,0.95,1,3,4,0,0,0,90'2,"69,80,83",7,2,1,0,0,0,0,1,0,0,15,11,5,7,10,4,8,15,63,37,1.69,1.44,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.47,3.47,2.23,1.33,2.05,3.7,7.5,1.83,1.87,Stade de la Beaujoire - Louis Fonteneau (Nantes),-2,0,1000
2,1534010400,Aug 11 2018 - 6:00pm,complete,,Angers SCO,Nîmes,Antony Gautier,1,0.0,0.0,1.26,1.11,3,4,7,2,1,1,"33,51,55","4,76,85,88",5,1,2,0,1,1,1,1,0,2,16,11,8,6,8,5,20,12,58,42,1.89,1.39,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.34,3.32,3.37,1.37,2.15,3.95,6.75,1.91,1.8,Stade Raymond-Kopa (Angers),-1,0,1000
3,1534010400,Aug 11 2018 - 6:00pm,complete,,Lille,Rennes,Willy Delajod,1,0.0,0.0,2.26,1.11,3,1,4,2,1,1,"45,54,68",43,2,6,1,0,0,0,0,1,0,0,11,4,7,3,4,1,12,13,47,53,1.45,0.84,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.47,3.26,3.18,1.34,2.05,3.75,7.25,1.87,1.83,Stade Pierre-Mauroy (Villeneuve d'Ascq),2,1,1000
4,1534010400,Aug 11 2018 - 6:00pm,complete,,Montpellier,Dijon,Florent Batta,1,0.0,0.0,1.68,0.63,1,2,3,1,1,0,5,"51,90'1",4,2,2,0,2,0,1,1,1,1,15,8,8,5,7,3,15,21,51,49,1.87,1.11,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.75,3.78,5.25,1.35,2.1,3.8,8.0,2.0,1.71,Stade de la Mosson (Montpellier),-1,0,1000
5,1534010400,Aug 11 2018 - 6:00pm,complete,21421.0,Nice,Reims,Johan Hamel,1,0.0,0.0,1.79,1.26,0,1,1,1,0,1,,2,10,2,1,0,2,0,0,1,1,1,15,6,2,4,13,2,13,14,70,30,1.64,0.8,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.92,3.66,4.31,1.32,2.0,3.5,5.75,1.87,1.83,Allianz Riviera (Nice),-1,0,1000
6,1534010400,Aug 11 2018 - 6:00pm,complete,,Saint-Étienne,Guingamp,Amaury Delerue,1,0.0,0.0,2.16,0.58,2,1,3,1,1,0,"45,80",56,6,9,3,0,1,0,1,2,0,1,9,12,7,6,2,6,14,11,43,57,1.34,1.57,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.89,3.65,4.48,1.32,2.0,3.55,6.0,1.91,1.8,Stade Geoffroy-Guichard (Saint-Ètienne),1,1,1000
7,1534078800,Aug 12 2018 - 1:00pm,complete,48263.0,Olympique Lyonnais,Amiens SC,Frank Schneider,1,0.0,0.0,2.11,0.63,2,0,2,1,1,0,"24,75",,10,1,0,0,2,0,0,0,1,1,11,6,8,2,3,4,9,17,67,33,1.58,0.69,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.22,7.02,9.99,1.15,1.51,2.3,4.25,2.05,1.67,Groupama Stadium (Décines-Charpieu),2,1,1000
8,1534086000,Aug 12 2018 - 3:00pm,complete,23273.0,Bordeaux,Strasbourg,Hakim Ben El Hadj,1,0.0,0.0,1.42,1.21,0,2,2,0,0,0,,"68,78",3,10,1,1,0,0,1,1,0,0,5,14,3,7,2,7,6,12,33,67,0.75,1.84,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.66,3.96,5.85,1.33,2.05,3.7,9.0,1.95,1.77,Stade Matmut-Atlantique (Bordeaux),-2,0,1000
9,1534100400,Aug 12 2018 - 7:00pm,complete,47289.0,PSG,Caen,Benoît Bastien,1,0.0,0.0,2.79,0.84,3,0,3,2,2,0,"10,35,89",,6,3,1,0,0,0,0,1,0,0,11,4,9,2,2,2,13,7,65,35,1.65,0.51,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.12,9.99,9.99,1.06,1.26,1.69,2.72,2.5,1.45,Parc des Princes (Paris),3,1,1000
